Case,date,WorstTimestamp,MinIntradayDD,DayStartEquity,EquityAtWorst,DayPeakBeforeWorst,DayEndEquity,DayPnL,DayReturn,GrossExposureAtWorstPct,MaxGrossExposureDayPct,AvgGrossExposureDayPct,OpenPositionsAtWorst,PnLDay_MR_EQ,PnLToWorst_MR_EQ,GrossAtWorst_MR_EQ_PctOfEquity,PnLDay_MR_FX,PnLToWorst_MR_FX,GrossAtWorst_MR_FX_PctOfEquity,PnLDay_TF_EQ,PnLToWorst_TF_EQ,GrossAtWorst_TF_EQ_PctOfEquity,MktPnLDay_EURCAD,MktPnLToWorst_EURCAD,MktGrossAtWorst_EURCAD_PctOfEquity,MktPnLDay_EURCHF,MktPnLToWorst_EURCHF,MktGrossAtWorst_EURCHF_PctOfEquity,MktPnLDay_EURUSD,MktPnLToWorst_EURUSD,MktGrossAtWorst_EURUSD_PctOfEquity,MktPnLDay_US100,MktPnLToWorst_US100,MktGrossAtWorst_US100_PctOfEquity,MktPnLDay_US30,MktPnLToWorst_US30,MktGrossAtWorst_US30_PctOfEquity,MktPnLDay_US500,MktPnLToWorst_US500,MktGrossAtWorst_US500_PctOfEquity,MktPnLDay_USDCHF,MktPnLToWorst_USDCHF,MktGrossAtWorst_USDCHF_PctOfEquity,EURUSD_RegimeSourceClosedDay,EURUSD_TrendRegime,EURUSD_VolRegime,EURUSD_BadRegime,EURUSD_CandidateRegimeMultiplier,MR_FX_MultiplierUsed
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2025-04-03,2025-04-03 16:00:00,-0.08710558594265444,827656.0446755565,755562.5799451123,827656.0446755565,774311.9882387263,-53344.0564368302,-0.06445196259968256,406.1466812204358,406.1466812204358,280.16371472818116,2,0.0,0.0,0.0,-53344.0564368302,-72093.46473044419,406.1466812204358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21222.731133916182,-30793.76674332886,211.152943213761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32121.325302914,-41299.69798711532,194.99373800667485,2025-04-02,trend_flat_or_up,mid_vol,False,1.0,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2020-06-11,2020-06-11 21:00:00,-0.07888449815727824,358970.516220084,333656.1037857134,361973.3128109938,335399.8859838574,-23570.6302362266,-0.06566174426920202,336.4039418867217,752.1046469985392,463.2853109597815,4,0.0,0.0,0.0,-2271.8077028681,-2917.6188515950053,219.65948363648428,-23228.63845287393,-24326.60950229103,116.7444582502375,-5163.134580263999,-5808.945728990926,219.65948363648428,390.5096562433646,390.5096562433646,0.0,1428.4802812162598,1428.4802812162598,0.0,-5588.846642694862,-5955.092320523301,34.48466323497256,-10055.683320781594,-10375.242641705343,42.962461613693804,-7584.1084893974985,-7996.274540062404,39.29733340157113,1072.3369399363255,1072.3369399363255,0.0,2020-06-10,trend_flat_or_up,mid_vol,False,1.0,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2021-11-26,2021-11-26 16:00:00,-0.07866756799466361,550967.1874722514,507623.93878894945,550967.1874722514,509559.4857863034,-41407.70168594795,-0.07515456932366482,481.6913384783147,715.7154052335861,518.8306429080044,4,-4348.664491475836,-3545.893090171943,30.994122527665397,-33213.03099036901,-36882.92820761129,413.5749414921918,-4265.976429344562,-3334.3976107601193,37.12227445845754,-17957.60979860327,-21934.621408529663,223.38166739140647,-3769.947062780295,-3769.947062780295,0.0,0.0,0.0,0.0,-4265.976429344577,-3334.3976107601193,37.12227445845754,-4348.664491475829,-3545.893090171943,30.994122527665397,0.0,0.0,0.0,-11485.474128985446,-11178.359736301336,190.19327410078535,2021-11-25,trend_down,mid_vol,True,0.75,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2015-01-26,2015-01-26 21:00:00,-0.07413779369486038,101823.442079522,95319.83427907074,102868.79962126291,95851.80789216145,-5971.634187360556,-0.058646948732069326,310.6200443921938,310.6200443921938,261.884557843874,3,705.9500611516514,622.3226479303667,62.81528860183744,-6677.584248512208,-7125.930448381638,247.80475579035638,0.0,0.0,0.0,0.0,0.0,0.0,-7410.177476409108,-7858.523676278537,247.80475579035638,0.0,0.0,0.0,0.0,0.0,0.0,306.6255982517778,281.2184329051256,31.378701179754643,399.32446289987365,341.1042150252406,31.436587422082795,732.5932278968976,732.5932278968976,0.0,2015-01-25,trend_down,high_vol,False,1.0,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2016-06-24,2016-06-24 06:00:00,-0.06082391241804801,144380.1527407417,135897.2799048771,144679.04567008436,143720.3103478111,-659.8423929306155,-0.004570173811323408,870.2531292162171,870.2531292162171,201.5714059626436,5,0.0,0.0,0.0,1354.7971215670623,-8482.87283586459,829.5120837710599,-2014.6395144976414,0.0,40.74104544515705,-1940.3546472705711,-3934.891694021637,210.8304094771805,430.32671344984556,-2367.2077659590395,236.95242065320804,2953.045973512264,-2118.383392569245,196.59710861940482,0.0,0.0,0.0,0.0,0.0,0.0,-2014.6395144976414,0.0,40.74104544515705,-88.22091812447434,-62.389983314667916,185.13214502126647,2016-06-23,trend_flat_or_up,high_vol,False,1.0,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2015-08-12,2015-08-12 17:00:00,-0.054792009184103714,107295.389533371,102300.54957403267,108179.47954275712,103838.32584772189,-3457.0636856491037,-0.03222005810952289,390.63441231896917,596.3066805774686,314.19407597126747,2,0.0,0.0,0.0,-3457.0636856490855,-4994.839959338311,390.63441231896917,0.0,0.0,0.0,621.0780059260637,621.0780059260637,0.0,430.56073554624436,430.56073554624436,0.0,-1845.007732195876,-2588.1871994731027,202.37158670480687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2663.694694925518,-3458.291501337515,188.26282561416227,2015-08-11,trend_down,high_vol,False,1.0,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2015-06-23,2015-06-23 22:00:00,-0.05260696964334948,111085.7599177332,105307.1532779617,111151.0384777623,105397.9242371065,-5687.835680626697,-0.05120220345829152,328.31857756857715,691.9636156983973,489.15546115926327,4,0.0,0.0,0.0,-5780.197816279469,-5870.968775424284,209.41018859841182,92.36213565278194,92.36213565278194,118.90838897016536,-2054.5169788528137,-2145.2879379976303,209.41018859841182,175.59063444763842,175.59063444763842,0.0,-2907.49197943113,-2907.49197943113,0.0,32.56854717000806,32.56854717000806,34.51020842650577,45.53891035506331,45.53891035506331,43.97073730452774,14.254678127709667,14.254678127709667,40.427443239131854,-993.7794924431655,-993.7794924431655,0.0,2015-06-22,trend_down,high_vol,False,1.0,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2013-06-20,2013-06-20 20:00:00,-0.05181383558290926,64251.548937104846,60922.42974453045,64251.548937104846,60938.511465065385,-3313.037472039461,-0.05156354246467365,205.79546384850772,429.1095800412484,319.3359070193023,6,-1340.6488192381003,-1343.6228821911595,90.03015863595479,-238.37931700100125,-238.37931700100125,0.0,-1673.5729013486534,-1686.6805589305277,115.76530521255293,0.0,0.0,0.0,159.87560681524337,159.87560681524337,0.0,-398.2549238162453,-398.2549238162453,0.0,-1015.823484637847,-936.6154206493309,63.610114049761215,-997.2363613429579,-1039.360713436498,72.88296966335231,-1001.1618746059485,-1054.3273070358582,69.30238013539422,0.0,0.0,0.0,2013-06-19,trend_flat_or_up,low_vol,False,1.0,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2013-12-27,2013-12-27 12:00:00,-0.048097958048311046,78787.77945970005,74998.24814852781,78787.77945970005,75919.02468942282,-2868.754770277228,-0.036411164141827324,520.6162330603898,730.09960869166,379.75017091162925,5,0.0,0.0,0.0,-2827.1530056012234,-3833.0860282633475,403.39829393742895,-112.281108533929,-27.124626766799338,117.21793912296089,-1545.3508914678657,-1957.76814882088,216.72284794876145,30.359408618235648,30.359408618235648,0.0,0.0,0.0,0.0,-94.86512704923189,-11.205716781471892,33.93905055343909,-17.51286261232144,0.13106349160443642,43.65147189629584,0.0968811276247834,-16.049973476931427,39.627416673225966,-1312.1615227515922,-1905.6772880607023,186.67544598866746,2013-12-26,trend_flat_or_up,low_vol,False,1.0,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2020-09-03,2020-09-03 20:00:00,-0.04747187284484179,429423.0772852311,409668.8239332974,430054.3416548226,412511.9742672015,-16911.103018029593,-0.039380983260005165,109.21759319276703,337.7734838296196,175.5859934742743,3,0.0,0.0,0.0,-258.96114760334603,-258.96114760334603,0.0,-16488.93306310571,-19332.083397009817,109.21759319276703,0.0,0.0,0.0,-258.9611476033315,-258.9611476033315,0.0,0.0,0.0,0.0,-6870.342921144373,-7773.893173232114,32.04738575290419,-4463.808050889005,-5478.615164597904,40.89152900520139,-5154.782091072353,-6079.575059179813,36.27867843466143,0.0,0.0,0.0,2020-09-02,trend_flat_or_up,mid_vol,False,1.0,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2016-01-04,2016-01-04 16:00:00,-0.04685281634826212,139505.19491266282,133191.27886573694,139727.49014260844,134588.50082801416,-4916.694084648654,-0.035243806424031354,114.0591714717535,328.76110579063027,199.2091185370863,3,0.0,0.0,0.0,-1042.8703291654529,-1042.8703291654529,0.0,-3873.8237554831876,-5271.045717760413,114.0591714717535,-1191.519654731319,-1191.519654731319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1370.1124840423458,-1795.7134208526518,32.939062871434494,-1348.2964762046927,-1839.6030285078054,42.29610616126284,-1155.41479523615,-1635.7292683999576,38.82400243905615,148.64932556586245,148.64932556586245,0.0,2016-01-03,trend_flat_or_up,mid_vol,False,1.0,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2022-02-04,2022-02-04 12:00:00,-0.04399511794214898,482568.9816295268,461338.30236751307,482568.9816295268,469741.00902468676,-12827.972604840063,-0.026582671272245673,566.8513551236938,737.2148298822484,402.13866986266413,5,531.9440172936593,531.9440172936593,0.0,-9224.822070532478,-13879.425000257499,451.0833015774528,-1546.5023003664974,-5294.606027815258,115.76805354624096,-4713.5285793584,-7323.525949408015,213.37325637047235,-3588.127684650928,-5632.733244326329,237.7100452069805,-923.1658065231386,-923.1658065231386,0.0,-422.1889723576751,-1884.678451584201,33.07632181653418,-582.5197801493778,-1532.128737038016,43.23251726741255,-9.849530565785244,-1345.8548218993965,39.45921446229424,0.0,0.0,0.0,2022-02-03,trend_down,high_vol,False,1.0,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2024-08-02,2024-08-02 16:00:00,-0.04392256472101684,790494.9830995185,757658.049751694,792378.6168085217,763393.7391160676,-27101.24398345081,-0.03428389118573183,301.7608906390057,532.9859189227511,320.55316480395044,4,-8377.279387607909,-11418.935227996495,59.474403384474414,-13963.42980382801,-15196.149506837013,199.67109063931107,-6195.573466068949,-7656.887287044956,42.61539661522022,2374.387694794612,2374.387694794612,0.0,0.0,0.0,0.0,-16690.1937317525,-17922.913434761504,199.67109063931107,-4617.404636217645,-6191.794355910053,29.683305541326177,-4368.242829637151,-5829.556650613187,42.61539661522022,-5587.205387822076,-7054.471508518247,29.791097843148247,352.376233129864,352.376233129864,0.0,2024-08-01,trend_flat_or_up,low_vol,False,1.0,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2020-05-01,2020-05-01 17:00:00,-0.04220389137961265,354591.4285998173,341123.59833195887,356088.73646872723,344028.98048535455,-10562.448114462779,-0.02978765774505865,296.9121387894937,707.3797348744738,383.07589543475444,3,0.0,0.0,0.0,-6036.949602456531,-9287.849925230024,212.83135702223163,-7507.629624323017,-7162.111454945247,84.08078176726207,-6355.041353839435,-9605.941676612907,212.83135702223163,-186.42219287516127,-186.42219287516127,0.0,73.78515685887396,73.78515685887396,0.0,0.0,0.0,0.0,-3689.972536773683,-3437.072468619481,42.54035640202552,-3817.6570875493417,-3725.0389863257733,41.54042536523653,430.7287873991736,430.7287873991736,0.0,2020-04-30,trend_flat_or_up,mid_vol,False,1.0,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2016-08-16,2016-08-16 13:00:00,-0.041170891168745415,158177.17244055186,152017.98098490105,158530.2761368309,153006.51079915222,-5170.661641399638,-0.03268905090172192,499.03117292159936,499.03117292159936,300.72660588204553,5,0.0,0.0,0.0,-4283.988201879707,-5783.127059516817,384.57569840775193,-886.6734395199601,-376.0643961340247,114.45547451384739,0.0,0.0,0.0,0.0,0.0,0.0,-2143.4612399887883,-2773.871777874392,199.3075755505662,-304.24063610532176,-115.93862787896796,33.65069675041789,-278.352766688633,-139.59166714633648,43.046346430982794,-304.08003672600535,-120.53410110871937,37.758431332446705,-2140.5269618909206,-3009.2552816424286,185.26812285718572,2016-08-15,trend_flat_or_up,mid_vol,False,1.0,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2018-12-04,2018-12-04 22:00:00,-0.04059494772022537,258800.53174263478,248294.537686576,258800.53174263478,248294.537686576,-10505.994056058786,-0.04059494772022543,112.56105887830074,713.8240539658678,335.8106228616051,3,0.0,0.0,0.0,-1622.627653448435,-1622.627653448435,0.0,-9456.415109386056,-9456.415109386056,112.56105887830074,0.0,0.0,0.0,-135.54627883379362,-135.54627883379362,0.0,-1037.9770099708767,-1037.9770099708767,0.0,-3043.5082553593147,-3043.5082553593147,32.603948726083026,-3298.9221779545114,-3298.9221779545114,41.76226960417282,-3113.9846760722303,-3113.9846760722303,38.19484054804489,-449.10436464376835,-449.10436464376835,0.0,2018-12-03,trend_down,mid_vol,True,0.75,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2025-04-10,2025-04-10 20:00:00,-0.040249977343152575,794009.2899321594,771782.5817534411,803741.4376834632,773100.895292153,-20908.394640006358,-0.026332682633716797,199.55536189146358,596.6746001148758,233.7495464440035,1,0.0,0.0,0.0,-20908.39464000624,-22226.708178718225,199.55536189146358,0.0,0.0,0.0,0.0,0.0,0.0,891.2652777059702,891.2652777059702,0.0,-28974.967229072732,-30293.280767784687,199.55536189146358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7175.307311360473,7175.307311360473,0.0,2025-04-09,trend_flat_or_up,high_vol,False,1.0,1.0
BASELINE_NO_MR_FX_REGIME_MULTIPLIER,2015-02-02,2015-02-02 10:00:00,-0.040145368402466526,99748.33971105539,95946.03441268051,99950.46825791521,97617.36634830499,-2130.973362750403,-0.021363497065948867,666.9085879133029,666.9085879133029,312.9918865133575,4,285.36286579144326,30.50541947657257,30.367182317656443,-2452.3153602778366,-3868.789849587458,636.5414055956463,0.0,0.0,0.0,-291.361302772767,-988.8433983830682,213.0527094480819,-1560.4732769687917,-1934.0370507230014,238.2948532899973,0.0,0.0,0.0,285.36286579144235,30.50541947657257,30.367182317656443,0.0,0.0,0.0,0.0,0.0,0.0,-600.4807805362798,-945.9094004813887,185.19384285756715,2015-02-01,trend_down,high_vol,False,1.0,1.0
